title,year,type,hasBackup,insertDTTM,viewSource
殺手廢J,2023,電視,0,2023-02-15 00:00,ViuTV
大誠實家,2023,電視,0,2023-02-15 00:00,ViuTV
JUNG_E,2023,劇情,0,2023-02-06 00:00,Netflix
毒舌大狀,2023,劇情,0,2023-01-27 18:00,Event Cinema
Narvik: Hitler's First Defeat,2022,戰爭,0,2023-01-29 00:00,Netflix
飯戲攻心,2022,喜劇,0,2023-01-06 00:00,uvod
緣路山旮旯,2022,愛情,0,2023-01-05 00:00,uvod
Lyle Lyle Crocodile,2022,動畫,0,2022-12-26 14:20,Event Cinema
心靈師,2022,電視,0,2023-01-01 00:00,ViuTV
Peninsula,2020,災難,0,2022-12-22 00:00,Netflix
First Love,2022,電視,0,2022-12-19 00:00,Netflix
Troll,2022,劇情,0,2022-12-15 00:00,Netflix
Guillermo del Toro’s Pinocchio,2022,動畫,0,2022-12-15 00:00,Netflix
A Trip to Infinity,2022,紀錄,0,2022-12-15 00:00,Netflix
Bullet Train,2022,劇情,0,2022-12-15 00:00,Netflix
百萬同居計劃,2022,電視,0,2022-12-04 00:00,ViuTV
闔家辣,2022,喜劇,0,2022-12-04 00:00,Netflix
明日戰記,2022,科幻,0,2022-12-03 00:00,Netflix
ERROR自爆96小時,2022,電視,0,2022-12-02 00:00,ViuTV
All Quiet on the Western Front,2022,戰爭,0,2022-11-20 00:00,Netflix
Ancient Apocalypse,2022,電視,0,2022-11-20 00:00,Netflix
1899,2022,電視,0,2022-11-20 00:00,Netflix
繩角,2022,電視,0,2022-11-20 00:00,ViuTV
季前賽,2022,電視,0,2022-10-30 00:00,ViuTV
野人老師,2022,電視,0,2022-10-30 00:00,ViuTV
夜香·鴛鴦·深水埗,2019,劇情,0,2022-10-29 21:00,Netflix
Minions and More,2022,動畫,0,2022-10-10 21:00,gimy
Thai Cave Rescue,2022,電視,0,2022-10-10 21:00,gimy
Blonde,2022,劇情,0,2022-09-30 23:00,gimy
阿媽有咗第二個,2022,劇情,0,2022-09-30 22:00,gimy
Narco Saints,2022,電視,0,2022-09-15 22:00,Netflix
七人樂隊,2021,劇情,0,2022-09-04 22:00,uvod
Minions: The Rise of Gru,2022,動畫,0,2022-09-02 22:00,uvod
A Stranger in Shanghai,2019,傳記,0,2022-08-30 22:00,NHK
神探大戰,2022,懸疑,0,2022-08-29 22:00,uvod
蠟筆小新：謎案！天下春日部學院的怪奇事件,2021,動畫,0,2022-08-29 20:00,uvod
MCU - Doctor Strange in the Multiverse of Madness,2022,動作,0,2022-08-01 20:00,uvod
Moonfall,2022,科幻,0,2022-07-31 00:00,uvod
手捲煙,2020,劇情,0,2022-07-30 00:00,uvod
The 7 Lives Of Lea,2022,電視,0,2022-07-28 00:00,Netflix
女人街，再見了,2021,劇情,0,2022-07-24 00:00,uvod
殺出個黃昏,2021,劇情,0,2022-07-23 00:00,uvod
I SWIM,2022,電視,0,2022-07-20 00:00,ViuTV
Money Heist: Korea - Joint Economic Area,2022,電視,0,2022-07-07 00:00,Netflix
Money Heist,2017,電視,0,2022-07-07 00:00,Netflix
Eden,2021,動畫,0,2022-06-16 00:00,Netflix
走佬去臺灣,2018,電視,0,2022-06-08 00:00,ViuTV
人住公屋 我住公屋,2019,電視,0,2022-06-08 00:00,ViuTV
走佬去馬拉,2019,電視,0,2022-06-08 00:00,ViuTV
買樓狂想#曲,2019,電視,0,2022-06-08 00:00,ViuTV
花姐ERROR遊,2019,電視,0,2022-06-08 00:00,ViuTV
ERROR自救TV,2020,電視,0,2022-06-08 00:00,ViuTV
大海男兒,2020,電視,0,2022-06-08 00:00,ViuTV
美女郊遊遊,2020,電視,0,2022-06-08 00:00,ViuTV
賭命夫妻,2021,電視,0,2022-06-08 00:00,ViuTV
造美人,2021,電視,0,2022-06-08 00:00,ViuTV
Good Night Show 全民造星,2018,電視,0,2022-06-08 00:00,ViuTV
調教你MIRROR,2021,電視,0,2022-06-08 00:00,ViuTV
ERROR自肥企画,2021,電視,0,2022-06-08 00:00,ViuTV
勁騎26,2022,電視,0,2022-06-08 00:00,ViuTV
香港秘密搜查官,2021,電視,0,2022-06-08 00:00,ViuTV
地產仔,2022,電視,0,2022-06-08 00:00,ViuTV
反起跑線聯盟,2022,電視,0,2022-06-08 00:00,ViuTV
940920,2022,電視,0,2022-06-08 00:00,ViuTV
冥冥之中,2022,電視,0,2022-06-08 00:00,ViuTV
Spy X Family (Season 1),2022,動畫,0,2022-06-08 00:00,Netflix
Thermae Romae Novae (Season 1),2022,動畫,0,2022-06-08 00:00,Netflix
Interceptor,2022,動作,0,2022-06-08 00:00,Netflix
The Electrical Life of Louis Wain,2021,傳記,0,2022-05-24 18:00,hmvod
Death on the Nile,2022,懸疑,0,2022-05-19 00:00,hmvod
選老頂,2016,劇情,0,2022-05-15 00:00,YouTube
一級指控,2021,劇情,0,2022-05-03 00:00,8maple.me
King Richard,2021,傳記,0,2022-04-02 00:00,hmvod
Inventing Anna,2022,電視,0,2022-03-23 00:00,Netflix
Manifest,2022,電視,0,2022-03-23 00:00,Netflix
The Adam Project,2022,科幻,0,2022-03-23 00:00,Netflix
The Mitchells vs. the Machines,2021,動畫,0,2022-02-16 20:00,hmvod
Encanto,2021,動畫,0,2022-03-06 20:00,hmvod
Fishbowl Wivies,2022,電視,0,2022-02-15 20:00,Netflix
MCU - Eternals,2021,動作,0,2022-02-13 20:00,uvod
下女誘罪,2016,情色,0,2022-02-13 20:00,Netflix
All of us are dead,2022,電視,0,2022-02-06 20:00,Netflix
IT 狗,2022,電視,0,2022-02-06 20:00,ViuTV
Red Notice,2021,冒險,0,2021-12-28 20:00,Netflix
The Silent Sea,2021,電視,0,2021-12-28 20:00,Netflix
梅艷芳,2021,傳記,0,2021-11-13 22:05,Cinema
Squid Game,2021,電視,0,2021-10-08 20:00,Netflix
大叔的愛,2021,電視,0,2021-10-08 20:00,ViuTV
男排女將,2020,電視,0,2021-09-04 20:00,ViuTV
媽媽的神奇小子,2021,傳記,0,2021-09-03 19:55,Cinema
鬼滅之刃劇場版無限列車篇,2020,動畫,0,2021-08-14 00:00,hmvod
Godzilla vs. Kong,2021,科幻,0,2021-08-14 00:00,hmvod
Stand by Me (Doraemon) 2,2020,動畫,1,2021-08-14 00:00,TVB
The Croods: A New Age,2020,動畫,0,2021-08-04 00:00,hmvod
The Croods,2013,動畫,0,2021-08-04 00:00,hmvod
Raya and the Last Dragon,2021,動畫,0,2021-08-04 00:00,hmvod
Kingdom: Ashin of the North,2021,恐怖,0,2021-07-28 00:00,Netflix
The Layover,2017,喜劇,0,2021-07-28 00:00,hmvod
Dreambuilders,2020,動畫,0,2021-07-28 00:00,hmvod
Orange is the new Black,2019,電視,0,2021-07-07 00:00,Netflix
Dynasty Warriors,2021,戰爭,0,2021-07-07 00:00,Netflix
Sexify,2021,電視,0,2021-07-07 00:00,Netflix
Sex/Life,2021,電視,0,2021-06-25 00:00,Netflix
Valeria,2021,電視,0,2021-06-11 00:00,Netflix
Something's Gotta Give,2003,愛情,0,2021-06-11 00:00,hmvod
Soul,2020,動畫,0,2021-05-28 00:00,hmvod
Bohemian Rhapsody,2018,劇情,0,2021-05-01 00:00,hmvod
Tom and Jerry,2021,劇情,0,2021-04-16 00:00,hmvod
Eyes Wild Shut,1999,情色,0,2021-04-16 00:00,Netflix
The Cowards Who Looked to the Sky,2012,情色,0,2021-04-16 00:00,Netflix
Madame Claude,2015,情色,0,2021-04-16 00:00,Netflix
Abzurdah,2015,情色,0,2021-04-16 00:00,Netflix
Jaoon Kahan Bata Ae Dil,2018,情色,0,2021-04-16 00:00,Netflix
Lang Tong,2018,情色,0,2021-04-16 00:00,Netflix
High Society,2018,情色,0,2021-04-16 00:00,Netflix
Ride or Die,2021,情色,0,2021-04-16 00:00,Netflix
Wonder Woman 1984,2020,冒險,0,2021-04-15 00:00,hmvod
Wonder Woman,2017,冒險,0,2021-04-15 00:00,hmvod
熱帶雨,2020,愛情,0,2021-03-29 00:00,hmvod
The Translator,2020,懸疑,0,2021-03-29 00:00,hmvod
Sisyphus: The Myth,2021,電視,0,2021-03-15 00:00,Netflix
Hello  Me!,2021,電視,0,2021-03-15 00:00,Netflix
Futmalls.com,2020,電視,0,2021-03-15 00:00,Netflix
向西聞記新春 SP：阿姨！我不想努力了！,2021,劇情,0,2021-02-28 00:00,hmvod
The Witches,2020,魔幻,0,2021-02-28 00:00,hmvod
L'amant(The Lover),1992,情色,0,2021-02-24 00:00,hmvod
The Curry Songs,2020,電視,0,2021-02-06 00:00,Netflix
Star Wars 9: The Rise of Skywalker,2019,科幻,0,2021-01-26 00:00,hmvod
The New Mutants,2020,科幻,0,2021-01-16 00:00,hmvod
Out of the Cradle,2018,電視,0,2021-01-04 00:00,rthk
Tenet,2020,科幻,0,2020-12-26 00:00,hmvod
Attack on Titan （season 1 2 3a 3b 4）,2020,動畫,0,2020-12-23 00:00,mytv-super
Into the Night （season 1）,2020,電視,0,2020-12-23 00:00,Netflix
Sweet Home （season 1）,2020,電視,0,2020-12-23 00:00,Netflix
