title,year,type,hasBackup,insertDTTM,viewSource
Wreck-It Ralph 2 : Breaks the Internet,2018,動畫,0,2018-12-25 09:05,Cinema
Wreck-It Ralph,2012,動畫,0,2018-12-24 00:00,Netflix
1983 （Season 1）,--,電視,0,2018-12-09 00:00,Netflix
Abraham Lincoln: Vampire Hunter,2012,冒險,0,2018-07-15 12:30,Netflix
Paradise in Service 軍中樂園,2014,紀錄,0,2018-07-15 12:30,Netflix
Warcraft,2016,魔幻,0,2018-07-15 12:30,Netflix
Land of the Lost,2009,喜劇,0,2018-07-15 12:30,Netflix
How It Ends,2018,災難,0,2018-07-15 12:30,Netflix
MCU - Doctor Strange,2016,動作,0,2018-07-15 12:30,Netflix
Dark （Season 1）,--,電視,0,2018-06-03 22:30,Netflix
The Good Dinosaur,2015,動畫,0,2018-05-26 21:30,
Ballerina,2017,動畫,0,2017-01-19 09:30,Cinema
FullMetal Alchemist,2017,魔幻,0,2018-05-26 21:30,Netflix
War Machine,2017,紀錄,0,2018-05-26 21:30,Netflix
Spectral,2016,懸疑,0,2018-05-26 21:30,Netflix
Orbiter 9,2017,科幻,0,2018-05-26 21:30,Netflix
The Cloverfield Paradox,2018,科幻,0,2018-05-26 21:30,Netflix
Altered Carbon （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
Zoo （Season 1 2 3）,--,電視,0,2018-05-26 21:30,Netflix
Erased （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
Mob Psycho 100 （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
Million Yen Women （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
Lost in Space （Season 1  2）,--,電視,0,2018-05-26 21:30,Netflix
The Mist （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
Déjà Vu,2006,科幻,0,2018-05-26 21:30,Netflix
The Rain （Season 1）,--,電視,0,2018-05-26 21:30,Netflix
The Huntsman: Winter's War,2016,魔幻,0,2018-05-26 21:30,Netflix
The Man from Earth: Holocene,2017,科幻,1,2018-05-26 19:30,
The Feels,2017,喜劇,1,2018-05-26 19:30,
Pacific Rim: Uprising,2018,科幻,1,2018-05-26 19:30,
Genesis,2018,科幻,1,2018-05-26 19:30,
Fifty Shades of Freed,2018,情色,1,2018-05-26 19:30,
A Sexy Night on Jeju Island,2018,情色,1,2018-05-26 19:30,
The Titan,2018,科幻,1,2018-05-26 19:30,
Maze Runner: The Death Cure,2018,冒險,1,2018-05-26 19:30,
Along with the Gods: The Two Worlds,2017,魔幻,1,2018-05-26 19:30,
1987: When the Day Comes,2017,紀錄,1,2018-05-26 19:30,
MCU - Captain America 3: Civil War,2016,動作,0,2018-04-30 23:50,Netflix
Ferdinand,2018,動畫,0,2018-02-16 10:50,Cinema
Vi,2013,情色,1,2018-01-10 00:00,
The Battleship Island,2017,紀錄,1,2018-01-10 00:00,
The Bathers,2003,情色,1,2018-01-10 00:00,
Q Sexual Desire,2011,情色,1,2018-01-10 00:00,
Pola X,1999,愛情,1,2018-01-10 00:00,
My Little Pony The Movie,2017,動畫,1,2018-01-10 00:00,
Intimnye mesta,2013,情色,1,2018-01-10 00:00,
La Fonte des neiges,2009,情色,1,2018-01-10 00:00,
HHhH,2017,戰爭,1,2018-01-10 00:00,
Grado 3,2009,情色,1,2018-01-10 00:00,
Flatliners,2017,懸疑,1,2018-01-10 00:00,
Girls Trip,2017,喜劇,1,2018-01-10 00:00,
Antiporno,2016,情色,1,2018-01-10 00:00,
A Secret Experience of Delicious Sex,2017,情色,1,2018-01-10 00:00,
9 Songs,2004,情色,1,2018-01-10 00:00,
A Taxi Driver,2017,劇情,1,2018-01-09 00:00,
Beyond Skyline,2017,科幻,1,2018-01-09 00:00,
Blade Runner Black Out 2022,2017,科幻,1,2018-01-09 00:00,
Geostorm,2017,災難,1,2018-01-09 00:00,
Kill Switch,2017,科幻,1,2018-01-09 00:00,
Olaf's Frozen Adventure,2017,動畫,1,2018-01-09 00:00,
The Lover's Guide Sexual Positions,2017,指南,1,2018-01-09 00:00,
The Dark Tower,2017,冒險,1,2018-01-09 00:00,
Planet of the Apes Series #03: War for the Planet of the Apes,2017,科幻,1,2018-01-09 00:00,
西謊極落之太爆太子太空艙,2017,喜劇,1,2018-01-09 00:00,
悟空傳,2017,動作,1,2018-01-09 00:00,
Coco,2017,動畫,0,2018-01-01 08:45,Cinema
1922,2017,劇情,0,2017-10-29 00:00,Netflix
The Sum of All Fears,2002,劇情,0,2017-10-29 00:00,Netflix
OtherLife,2017,科幻,0,2017-10-29 00:00,Netflix
Ex Machina,2015,科幻,0,2017-10-29 00:00,Netflix
反黑,2017,電視,0,2017-10-06 00:00,YouTube
Rememory,2017,懸疑,1,2017-09-07 00:00,
The Art of Loving. Story of Michalina Wislocka,2017,愛情,1,2017-09-07 00:00,
悟空傳,2017,動作,1,2017-09-07 00:00,
Blue Lagoon: The Awakening,2012,劇情,0,2017-09-07 00:00,Netflix
Return to the Blue Lagoon,1991,劇情,0,2017-09-07 00:00,Netflix
The Blue Lagoon,1980,劇情,0,2017-09-07 00:00,Netflix
Stardust,2007,魔幻,0,2017-09-01 00:00,Netflix
Naked,2017,喜劇,0,2017-09-01 00:00,Netflix
Death Note,2017,魔幻,0,2017-09-01 00:00,Netflix
Love and Other Drugs,2010,愛情,0,2017-09-01 00:00,Netflix
Drone,2017,懸疑,1,2017-08-05 00:00,
Prometheus,2012,科幻,1,2017-07-22 00:00,
The Lost City of Z,2016,紀錄,1,2017-07-22 00:00,
The Mummy,2017,冒險,1,2017-07-22 00:00,
2.22,2017,愛情,1,2017-07-22 00:00,
Timeless,2017,電視,0,2017-07-05 00:00,Netflix
Alien: Covenant,2017,科幻,1,2017-07-05 00:00,
Prometheus,2012,科幻,0,2017-07-05 00:00,
Beauty and the Beast,2017,愛情,1,2017-07-05 00:00,
Dangal,2016,劇情,1,2017-07-05 00:00,
Life,2017,科幻,1,2017-07-05 00:00,
春嬌救志明,2017,愛情,1,2017-07-05 00:00,
Sausage Party,2017,動畫,0,2017-06-25 00:00,Netflix
Despicable Me 3,2017,動畫,0,2017-06-17 13:25,Cinema
合約男女,2017,愛情,0,2017-06-16 00:00,iTunes
The Boss Baby,2017,動畫,0,2017-04-04 09:20,Cinema
Allied,2016,戰爭,1,2017-04-08 00:00,
Fifty Shades of Darker,2016,情色,1,2017-04-08 00:00,
Inferno,2016,懸疑,1,2017-04-08 00:00,
Hacksaw Ridge,2016,戰爭,1,2017-04-08 00:00,
Morgan,2016,恐怖,1,2017-04-08 00:00,
Star Trek Beyond,2016,科幻,1,2017-04-08 00:00,
Snowden,2016,傳記,1,2017-04-08 00:00,
Trolls,2016,動畫,1,2017-04-08 00:00,
Rogue One: A Star Wars Story,2016,科幻,1,2017-04-08 00:00,
The Space Between Us,2017,科幻,1,2017-04-08 00:00,
Arrival,2016,科幻,1,2017-04-08 00:00,
Passengers,2016,科幻,1,2017-04-08 00:00,
Nine Lives,2016,喜劇,1,2017-04-08 00:00,
Sully,2016,傳記,1,2017-04-08 00:00,
Westworld（Season 1 2 3）,--,電視,1,2017-04-08 00:00,
Travelers（Season 1 2 3）,--,電視,0,2017-02-17 00:00,Netflix
Tokyo Trial（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
Reign（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
Cosmos: A Spacetime Odyssey（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
Stranger Things（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
The Red Tent（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
The Expanse（Season 1）,--,電視,0,2017-02-17 00:00,Netflix
Deepwater Horizon,2016,災難,0,2016-12-27 00:00,
The Man from the Future （O Homem do Futuro）,2011,科幻,0,2016-12-05 00:00,Netflix
ARQ,2016,科幻,0,2016-12-05 00:00,Netflix
Patterns of Evidence: Exodus,2014,紀錄,0,2016-12-05 00:00,Netflix
X-Rated: The Greatest Adult Movies of All Time,2015,情色,0,2016-12-05 00:00,Netflix
House of Cards（Season 1）,--,電視,0,2016-11-30 22:00,Netflix
The Crown（Season 1）,--,電視,0,2016-11-30 22:00,Netflix
Designated Survivor（Season 1 2）,--,電視,0,2016-11-30 22:00,Netflix
Frequency（Season 1）,--,電視,0,2016-11-30 22:00,Netflix
3%（Season 1）,--,電視,0,2016-11-30 22:00,Netflix
Shooter（Season 1 2）,--,電視,0,2016-11-30 22:00,Netflix
Agoraphobia,2015,恐怖,1,2016-10-18 22:00,
Carol,2015,愛情,1,2016-10-18 22:00,
Goddess of Love,2015,恐怖,1,2016-10-18 22:00,
Little Deaths,2011,恐怖,1,2016-10-18 22:00,
Repo Man,2010,懸疑,1,2016-10-18 22:00,
Taxi Tehran,2015,喜劇,1,2016-10-18 22:00,
Terminus,2015,科幻,1,2016-10-18 22:00,
The Hallow,2015,懸疑,1,2016-10-18 22:00,
The Little Prince,2015,動畫,1,2016-10-18 22:00,
The Midwife,2015,劇情,1,2016-10-18 22:00,
The Peanuts Movie,2015,動畫,1,2016-10-18 22:00,
Zootopia,2016,動畫,1,2016-10-18 22:00,
The Danish Girl,2016,愛情,1,2016-10-18 22:00,
The Purge: Election Year,2016,恐怖,1,2016-10-18 22:00,
Mr Robot （Season 1 2）,2015,電視,1,2016-10-18 22:00,
London Has Fallen,2016,動作,1,2016-10-18 22:00,
Train To Busan,2016,科幻,1,2016-10-18 22:00,
Independence Day Resurgence,2016,科幻,1,2016-10-18 22:00,
10 Cloverfield Lane,2016,懸疑,1,2016-10-18 22:00,
寒戰２,2016,警匪,0,2016-07-12 22:20,Cinema
The Secret Life Of Pets,2016,動畫,0,2016-07-01 09:15,Cinema
Divergent Series : #3 Allegiant,2016,科幻,1,2016-06-28 23:00,
Cutie Honey,2004,喜劇,1,2016-06-28 23:00,
The Stepford Wives,2004,喜劇,1,2016-06-28 23:00,
Attack On Titan #2,2015,科幻,1,2016-06-17 23:00,
Contes Immoraux,1974,情色,1,2016-06-17 23:00,
Deadpool,2016,動作,1,2016-06-17 23:00,
Dora or The Sexual Neuroses of Our Parents,2015,情色,1,2016-06-17 23:00,
Fifty Shades of Grey,2015,情色,1,2016-06-17 23:00,
Gods of Egypt,2016,動作,1,2016-06-17 23:00,
Kamasutra,2008,指南,1,2016-06-17 23:00,
Men  Women and Children,2014,劇情,1,2016-06-17 23:00,
Meru,2015,紀錄,1,2016-06-17 23:00,
Nymphomaniac Volume 1,2013,情色,1,2016-06-17 23:00,
Nymphomaniac Volume 2,2013,情色,1,2016-06-17 23:00,
Point Break,2015,冒險,1,2016-06-17 23:00,
RTHK: The Cruel Wars 2 - Soviet Afghan War,2015,紀錄,1,2016-06-17 23:00,
RTHK: The Cruel Wars 2 - The rise of ISIS,2015,紀錄,1,2016-06-17 23:00,
The 5th Wave,2016,科幻,1,2016-06-17 23:00,
The Revenant,2015,冒險,1,2016-06-17 23:00,
This is where I leave you,2014,愛情,1,2016-06-17 23:00,
The Angry Birds Movie 2,2019,動畫,0,2020-05-04 00:00,hmvod
The Angry Birds Movie,2016,動畫,0,2016-06-09 09:00,Cinema
Look Who's Back,2015,喜劇,0,2016-04-25 00:00,Netflix
Masters of Sex（Season 1）,--,電視,0,2016-06-03 00:00,Netflix
Star Trek (#12) Into Darkness,2013,科幻,0,2016-06-03 00:00,Netflix
Helix （Season 1）,--,電視,0,2016-04-24 00:00,Netflix
Kate and Leopold,2001,愛情,0,2016-03-08 00:00,Netflix
Marco Polo （Season 1）,--,電視,0,2016-03-07 00:00,Netflix
The Returned （Season 1）,--,電視,0,2016-03-07 00:00,Netflix
Peppa Pig,--,電視,0,2016-03-07 00:00,Netflix
Good Morning Call,--,電視,0,2016-03-07 00:00,Netflix
Black Mirror （Season 1 2 Special 3 4 5）,--,電視,0,2016-03-07 00:00,Netflix
アンダーウェア（內衣白領風雲）,--,電視,0,2016-03-07 00:00,Netflix
Ascension （Season 1）,--,電視,0,2016-03-07 00:00,Netflix
The 100 （Season 1 2 3 4 5 6 7）,--,電視,0,2016-03-12 00:00,Netflix
12 Monkeys （Season 1 2 3 4）,--,電視,0,2016-03-12 00:00,Netflix
We're the Millers,2013,喜劇,0,2016-01-09 21:00,Cinema
Four Christmases,2008,愛情,0,2016-01-08 21:00,Cinema
400 Days,2015,科幻,1,2016-01-04 21:00,
Aphrodisiac: The Sexual Secret Of Marijuana,1971,情色,1,2016-01-04 21:00,
Air,2015,科幻,1,2016-01-04 21:00,
MCU - Ant-Man,2015,動作,1,2016-01-04 21:00,
Bad Timing,1980,情色,1,2016-01-04 21:00,
Bikini Model Academy,2015,情色,1,2016-01-04 21:00,
Black and White and Sex,2012,情色,1,2016-01-04 21:00,
Chloe and Theo,2015,劇情,1,2016-01-04 21:00,
Crawlspace,2012,科幻,1,2016-01-04 21:00,
Diet of Sex,2014,情色,1,2016-01-04 21:00,
Experimenter,2015,紀錄,1,2016-01-04 21:00,
Maya the Bee Movie,2014,動畫,1,2016-01-04 21:00,
Maze Runner: The Scorch Trials,2015,冒險,1,2016-01-04 21:00,
Mr Holmes,2015,劇情,1,2016-01-04 21:00,
Parasyte,2015,科幻,1,2016-01-04 21:00,
Pay the Ghost,2015,懸疑,1,2016-01-04 21:00,
Pixels,2015,喜劇,1,2016-01-04 21:00,
Pressure,2015,劇情,1,2016-01-04 21:00,
SS Experiment Love Camp,1976,情色,1,2016-01-04 21:00,
Tale of Tales,2015,魔幻,1,2016-01-04 21:00,
Ted 2,2015,喜劇,1,2016-01-04 21:00,
The Crossing: Part 2,2015,戰爭,1,2016-01-04 21:00,
The Last Comfort Women,2014,戰爭,1,2016-01-04 21:00,
The Martian,2015,科幻,1,2016-01-04 21:00,
The Stanford Prison Experiment,2015,紀錄,1,2016-01-04 21:00,
Young People Fucking,2007,情色,1,2016-01-04 21:00,
Star Wars 7: The Force Awakens,2015,科幻,0,2015-12-19 19:30,Cinema
Planes,2013,動畫,0,2016-01-03 21:30,Cinema
Intern,2015,喜劇,0,2015-09-25 17:20,Cinema
Tomorrowland,2015,科幻,0,2015-07-30 09:00,Cinema
Inside Out,2015,動畫,0,2015-08-14 19:00,Cinema
Everest,2015,紀錄,0,2015-09-20 00:00,Cinema
Z for Zachariah,2015,科幻,1,2015-09-17 00:00,
Year One,2009,喜劇,1,2015-09-17 00:00,
The SpongeBob Movie: Sponge Out of Water,2015,動畫,1,2015-09-17 00:00,
The Last Survivors,2015,科幻,1,2015-09-17 00:00,
Terminator 5: Genisys,2015,科幻,1,2015-09-17 00:00,
Suite Francaise,2014,愛情,1,2015-09-17 00:00,
Self Less,2015,科幻,1,2015-09-17 00:00,
San Andreas,2015,災難,1,2015-09-17 00:00,
Phoenix,2014,愛情,1,2015-09-17 00:00,
Pandorum,2009,科幻,1,2015-09-17 00:00,
Ooops! Noah is Gone...,2014,動畫,1,2015-09-17 00:00,
Minions,2015,動畫,1,2015-09-17 00:00,
Harbinger Down,2015,恐怖,1,2015-09-17 00:00,
Divergent Series : #2 Insurgent,2015,科幻,1,2015-09-17 00:00,
Big Game,2014,冒險,1,2015-09-17 00:00,
Attack On Titan #1,2015,科幻,1,2015-09-17 00:00,
Terminator 2: Judgement Day,1991,科幻,0,2015-08-09 00:00,
Terminator,1984,科幻,0,2015-08-09 00:00,
雛妓（Sara）,2015,情色,1,2015-07-11 00:00,
衝鋒車（Two Thumbs Up）,2015,懸疑,1,2015-07-11 00:00,
Twentynine Palms,2003,情色,1,2015-07-11 00:00,
The Water Diviner,2014,戰爭,1,2015-07-11 00:00,
The Loft,2014,懸疑,1,2015-07-11 00:00,
The Age of Adaline,2015,愛情,1,2015-07-11 00:00,
San Andreas Quake,2015,災難,1,2015-07-11 00:00,
Mortdecai,2015,懸疑,1,2015-07-11 00:00,
Killing Jesus,2015,紀錄,1,2015-07-11 00:00,
Time Lapse,2014,科幻,1,2015-04-25 00:00,
The Judge,2014,劇情,1,2015-04-25 00:00,
The Anomaly,2014,懸疑,1,2015-04-14 00:00,
Hot Tub Time Machine 2,2015,喜劇,1,2015-04-14 00:00,
Gone Girl,2014,懸疑,1,2015-04-14 00:00,
Exodus: Gods and Kings,2014,動作,1,2015-04-14 00:00,
The Crossing: Part 1,2014,戰爭,1,2015-03-21 00:00,
Teenage Mutant Ninja Turtles,2014,動作,1,2015-03-21 00:00,
Stand by Me (Doraemon),2014,動畫,1,2015-03-21 00:00,
Serial Bad Weddings,2014,喜劇,1,2015-03-21 00:00,
PK,2014,喜劇,1,2015-03-21 00:00,
Hector and the Search for Happiness,2014,喜劇,1,2015-03-21 00:00,
Asian School Girls,2014,情色,1,2015-03-21 00:00,
Cinderella,2015,喜劇,0,2015-03-14 12:50,
Unstoppable,2010,冒險,0,2015-03-07 21:30,
Zodiac Signs of the Apocalypse,2014,科幻,1,2015-02-14 00:00,
Vice,2015,動作,1,2015-02-14 00:00,
The Imitation Game,2014,紀錄,1,2015-02-14 00:00,
Sex Tape,2014,喜劇,1,2015-02-14 00:00,
Birdman,2014,喜劇,1,2015-02-14 00:00,
Big Hero,2014,動畫,1,2015-02-14 00:00,
Against the Sun,2014,冒險,1,2015-02-14 00:00,
The November Man,2014,警匪,1,2014-12-31 00:00,
The Interview,2014,喜劇,1,2014-12-31 00:00,
Stonehearst Asylum,2014,懸疑,1,2014-12-31 00:00,
Madagascar: Penguins of Madagascar,2014,動畫,1,2014-12-31 00:00,
Automata,2014,科幻,1,2014-12-31 00:00,
Paddington,2014,喜劇,1,2014-12-26 09:25,Cinema
Los cronocrímenes（Time Crimes）,2007,科幻,0,2014-12-26 00:00,
Viking: The Berserkers,2014,懸疑,1,2014-12-19 20:00,
Saint Seiya - Legend of Sanctuary,2014,動畫,1,2014-12-19 20:00,
As Above So Below,2014,恐怖,1,2014-12-19 20:00,
Maze Runner,2014,冒險,1,2014-12-12 00:00,
Predestination,2014,科幻,1,2014-12-12 00:00,
Left Behind,2014,懸疑,1,2014-12-12 00:00,
MCU - Guardians of the Galaxy,2014,動作,1,2014-12-12 00:00,
Fury,2014,戰爭,1,2014-12-12 00:00,
Chef,2014,喜劇,1,2014-12-12 00:00,
Snow White and the Huntsman,2012,魔幻,0,2014-11-08 21:30,
Interstellar,2014,科幻,0,2014-11-06 22:05,Cinema
Saints and Soldiers 3: The Void,2014,戰爭,1,2014-11-01 00:00,
Lucy,2014,科幻,1,2014-11-01 00:00,
Lost Time,2014,懸疑,1,2014-11-01 00:00,
Leprechaun Origins,2014,懸疑,1,2014-11-01 00:00,
Hercules,2014,戰爭,1,2014-11-01 00:00,
Earth to Echo,2014,科幻,1,2014-11-01 00:00,
Planet of the Apes Series #01: Rise of the Planet of the Apes,2011,科幻,1,2012-01-14 16:19,
Planet of the Apes Series #02: Dawn of the Planet of the Apes,2014,科幻,1,2014-11-01 00:00,
The Giver,2014,科幻,1,2014-09-18 21:00,
The Signal,2014,科幻,1,2014-09-18 20:00,
The Purge: Anarchy,2014,恐怖,1,2014-09-17 00:00,
那個少女不多情之脱的疑惑,1993,情色,1,2014-09-12 23:00,
永遠の０（Eien no Zero）,2013,戰爭,1,2014-09-09 20:00,
那夜凌晨，我坐上了旺角開往大埔的紅van（The Midnight After）,2014,科幻,1,2014-09-09 20:00,
The Last Ship （Season 1 2 3 4）,--,電視,1,2014-09-09 20:00,
Noah,2014,傳記,1,2014-09-09 20:00,
Last Flight,2014,恐怖,1,2014-09-09 20:00,
Jack Strong,2014,懸疑,1,2014-09-09 20:00,
Easy Six,2003,喜劇,1,2014-09-09 20:00,
Divergent Series : #1 Divergent,2014,科幻,1,2014-09-09 20:00,
Begin Again,2013,愛情,0,2014-09-09 14:00,Cinema
App,2013,懸疑,1,2014-09-09 20:00,
PLANES 2 - Fire and Rescue,2014,動畫,0,2014-07-22 09:30,Cinema
Alice in Wonderland,2010,冒險,0,2014-07-05 20:30,
爛滾夫鬥爛滾妻,2013,情色,1,2014-06-28 22:00,
櫻花公主之極樂快感,2013,情色,1,2014-06-28 22:00,
Under The Skin,2013,科幻,1,2014-06-28 22:00,
Obsessed,2009,恐怖,1,2014-06-28 22:00,
Godzilla,2014,科幻,1,2014-06-28 22:00,
Bad Neighbors,2014,喜劇,1,2014-06-28 22:00,
A Million Ways To Die In The West,2014,喜劇,1,2014-06-28 22:00,
Adore（Two Mothers）,2013,情色,1,2014-06-28 22:00,
3D肉蒲團之極樂寶鑑,2011,情色,1,2014-06-28 22:00,
How To Train Your Dragon 2,2014,動畫,0,2014-06-28 09:10,Cinema
Winnie the Pooh,2011,動畫,0,2014-06-26 22:00,
Justin and the Knights of Valour,2013,動畫,0,2014-06-22 00:00,
Edge of Tomorrow,2014,科幻,1,2014-06-12 00:00,
The Grand Budapest Hotel,2014,冒險,1,2014-06-09 10:00,
Her,2013,懸疑,1,2014-06-09 10:00,
Maleficent,2014,魔幻,0,2014-06-06 19:30,Cinema
The Bible,2013,電視,0,2014-06-06 00:00,
Son of God,2014,紀錄,0,2014-06-06 00:00,
人類資金（Human Trust）,2013,劇情,1,2014-05-24 00:00,
豪情（Naked Ambition 3D）,2014,情色,1,2014-05-24 00:00,
The Slut,2011,情色,1,2014-05-24 00:00,
The Amazing Spider-Man 2,2014,動作,1,2014-05-24 00:00,
Lego Movie,2014,動畫,1,2014-05-24 00:00,
College Girl Seeking,2001,情色,1,2014-05-21 00:00,
Transcendence,2014,科幻,0,2014-05-18 21:50,Cinema
風立ちぬ（The Wind Rises）,2013,動畫,1,2014-05-07 00:00,
RoboCop,2014,動作,1,2014-05-07 00:00,
Pompeii,2014,災難,1,2014-05-07 00:00,
Blutgletscher（Blood Glacier）,2013,恐怖,1,2014-05-07 00:00,
Apocalypse Pompeii,2014,災難,1,2014-05-07 00:00,
Bruce Almighty,2003,喜劇,0,2014-04-26 21:30,
殭屍（Rigor Mortis）,2013,恐怖,1,2014-04-22 00:00,
西遊記之大鬧天宮（The Monkey King）,2014,冒險,1,2014-04-22 00:00,
金雞SSS（Golden Chickensss）,2014,喜劇,1,2014-04-22 00:00,
The Legend of Hercules,2014,動作,1,2014-04-22 00:00,
Need for Speed,2014,動作,1,2014-04-22 00:00,
How Earth Made Us (EP01-05),2010,紀錄,1,2014-04-22 00:00,
MCU - Captain America 2: The Winter Soldier,2014,動作,1,2014-04-22 00:00,
Rio 2,2014,動畫,0,2014-04-21 01:20,
The Dreamers,2003,情色,1,2014-03-29 00:00,
Snowpiercer,2013,科幻,1,2014-03-29 00:00,
Nymphomaniac (I and II),2013,情色,1,2014-03-29 00:00,
300: Rise of an Empire,2014,戰爭,1,2014-03-29 00:00,
Non-Stop,2014,懸疑,0,2014-03-22 00:00,
Mr. Peabody and Sherman,2014,動畫,0,2014-03-08 13:00,
Chariot,2013,懸疑,0,2014-03-08 00:00,
The Monuments Men,2014,戰爭,0,2014-03-05 17:15,Cinema
Star Trek (#11),2009,科幻,0,2014-03-02 00:00,
Captain Phillips,2013,傳記,1,2014-02-25 00:00,
About Time,2013,愛情,0,2014-02-25 00:00,
植物學家的中國女孩,2006,情色,1,2014-02-20 00:00,
The Wolf of Wall Street,2013,劇情,1,2014-02-12 00:00,
After the Dark,2013,劇情,0,2014-02-10 00:00,
미스체인지（Miss Change）,2013,情色,1,2014-02-09 00:00,
無人區（No Man's Land）,2013,懸疑,0,2014-02-09 00:00,
掃毒（The White Storm）,2013,警匪,0,2014-02-09 00:00,
The World's End,2013,喜劇,0,2014-02-09 00:00,
The Secret Life of Walter Mitty,2013,喜劇,0,2014-02-09 00:00,
The Book Thief,2013,戰爭,0,2014-02-09 00:00,
The Book of Daniel,2013,科幻,0,2014-02-09 00:00,
Steel Tempest,2000,動作,1,2014-02-09 00:00,
Naked World,2003,情色,1,2014-02-09 00:00,
Lovelace,2013,情色,0,2014-02-09 00:00,
Le grand méchant loup（The Big Bad Wolf）,2013,喜劇,1,2014-02-09 00:00,
Frozen,2013,動畫,1,2014-02-09 00:00,
Free Birds,2013,動畫,0,2014-02-09 00:00,
Escape Plan,2013,冒險,0,2014-02-09 00:00,
Bikini Spring Break,2012,情色,1,2014-02-09 00:00,
Saints and Soldiers 2: Airborne Creed,2012,戰爭,0,2014-02-05 00:00,
Into the White,2012,戰爭,0,2014-02-04 02:00,
Cloudy with a Chance of Meatballs 2,2013,動畫,0,2014-01-03 13:35,Cinema
Toy Story 2,1999,動畫,0,2013-12-25 00:00,
MCU - Thor 2: The Dark World,2013,動作,0,2013-12-13 09:18,
Gravity,2013,科幻,0,2013-12-10 02:14,
마이웨이（My Way）,2011,戰爭,0,2013-12-02 22:17,
Pirates of the Caribbean: #4 - On Stranger Tides,2011,冒險,0,2013-11-17 21:59,
Pirates of the Caribbean: #3 - At World's End,2007,冒險,0,2013-11-17 21:59,
Pirates of the Caribbean: #2 - Dead Man's Chest,2006,冒險,0,2013-11-17 21:58,
Pirates of the Caribbean: #1 - The Curse of the Black Pearl,2003,冒險,0,2013-11-17 21:58,
Turbo,2013,動畫,1,2013-11-13 23:30,
The Last Days on Mars,2013,科幻,1,2013-11-13 23:30,
Room In Roma,2012,情色,1,2013-11-13 23:30,
Parkland,2013,紀錄,1,2013-11-13 23:30,
Elysium,2013,科幻,1,2013-11-13 23:30,
Lie With Me,2005,情色,1,2013-11-11 23:30,
Jan Dara: the Finale（晚孃：罪色）,2013,情色,1,2013-11-11 23:30,
Jan Dara: the Beginning（晚孃：戀慾）,2012,情色,1,2013-11-11 23:30,
About Cherry,2012,情色,1,2013-11-11 23:30,
德川性愛禁止令：色情大名,1972,情色,1,2013-11-11 22:30,
すべては「裸になる」から始まって（一切從裸露開始）,2012,情色,1,2013-11-11 22:30,
MiLK ミルク滴る女（大乳牛奶女）,2010,情色,1,2013-11-11 22:30,
L'Apollonide: Souvenirs De La Maison Close（House of Tolerance）,2011,情色,1,2013-11-11 22:30,
ERO SUBWAY,2009,情色,1,2013-11-11 22:30,
The Pacific,2010,電視,0,2013-11-06 23:45,
開心魔法,2011,喜劇,0,2013-10-26 20:30,
Astronaut: The Last Push,2012,科幻,0,2013-10-24 22:34,
激戰,2013,動作,1,2013-10-19 11:42,
C.O.G.,2013,劇情,1,2013-10-19 11:42,
Escape From Tomorrow,2013,恐怖,1,2013-10-19 11:41,
半沢直樹（Hanzawa Naoki） （Season 1）,2013,電視,1,2013-10-19 11:41,
The Quiet Earth,1985,科幻,0,2013-09-30 15:41,
Taken,2008,動作,0,2013-09-21 21:30,
Dragon Ball Z: Battle of Gods,2013,動畫,0,2013-09-18 21:47,
The Karate Kid,2010,動作,0,2013-08-31 21:30,
The Sessions,2012,劇情,1,2013-08-31 01:16,
End of Days,1999,科幻,0,2013-08-18 22:02,
World War Z,2013,災難,1,2013-08-15 15:31,
White House Down,2013,動作,1,2013-08-13 23:35,
Pacific Rim,2013,科幻,1,2013-08-13 23:35,
C+偵探（The Detective）,2007,懸疑,1,2013-08-08 01:18,
B+偵探（The Detective 2）,2011,懸疑,1,2013-08-08 01:18,
A+偵探 / 同謀（The Detective 3）,2013,懸疑,1,2013-08-08 01:18,
Los últimos días（The Last Days）,2013,冒險,1,2013-08-01 00:27,
The Colony,2013,災難,1,2013-08-01 00:27,
Monsters University,2013,動畫,1,2013-08-01 00:27,
Man of Steel,2013,科幻,1,2013-08-01 00:27,
Battleship,2012,科幻,1,2013-08-01 00:26,
The Book of Eli,2010,科幻,1,2013-07-23 00:40,
Undici giorni  undici notti （Pomeriggio caldo / Eleven Days Eleven Nights） 3,1989,情色,1,2013-07-16 22:25,
Undici giorni  undici notti （Eleven Days Eleven Nights） 2,1990,情色,1,2013-07-16 22:25,
Undici giorni  undici notti （Eleven Days Eleven Nights） 1,1987,情色,1,2013-07-16 22:25,
Europa Report,2013,科幻,1,2013-07-16 22:24,
人再囧途之泰囧,2012,喜劇,1,2013-07-16 22:24,
